           Persona      |S/F |PP |Res. Fecha                          | Res. P/S   | Res. Nro.   |  OI  |                Lugar Destino       |    Evento Destino     | Mision Días | Mision Inicio | Mision Fin   | Pasaje U$S | Seg. Viaj. U$S | Viático U$S | Devolución U$S |  Fecha Informe |Informe U$S | Total del viaje U$S  |      Observaciones
Penadés, Gustavo        |Sen |N  |24/08/10                            | Sec   |     72/2010      |  MER |Brasilia, Brasil                    | Com. Asuntos Internos, seguridad y Defensa Parl. Mercosur       | 4  |  30/08/10 |   02/09/10 |    908,00    |  39,00 |   872,00  |          | 16/09/10  |    872,00    |  1.819,00
Penadés, Gustavo        |Sen |N  |20/10/10                            | Sec   |    101/2010      |  MER |Bs. As., Argentina                  | Reunión Com. Asuntos Inter., Segur. y Def. Parl. MERCOSUR       | 4  |  24/10/10 |   27/10/10 |    147,00    |  47,50 | 1.270,00  |   320,00 | 01/10/10  |      950,00  |    1.144,50
Penadés, Gustavo        |Sen |N  |08/11/10                            | Sec   |    118/2010      |  MER |Bs. As., Argentina                  | Reunión Mesa Directiva del Parlamento del Mercosur              | 2  |  11/11/10 |   12/11/10 |    176,00    |  47,50 |   640,00  |  100,00  | 17/11/10  |       540,00 |       763,50
Penadés, Gustavo        |Sen |N  |11/11/10                            | Sec   |    123/2010      |  MER |Santa Cruz de la Sierra, Bolivia    | Com. Asunt. Interiores, Seguridad y Defensa Parl. MERCOSUR      | 6  |  20/11/10 |   25/11/10 |    523,00    |  72,00 | 1.180,00  |   120,00 | 02/12/10  |    1.060,00  |    1.655,00
Piquinela, Oscar        |Otr | - | Nota del Sec. Rodríguez Filippini  |       |                  |  OTR |Ginebra, Suiza                      | 3ra. Conf. Mundial de Presidentes de Parlamentos                | 8  |  17/07/10 |   23/07/10 |  2.698,00    |  56,00 | 2.655,00  |          | 28/07/10  |  2.655,00    |  5.409,00        |   Reintegrado a CRR
Puñales, Yeanneth       |Fun | - |07/06/10                            | Sec   |     35/2010      |  OTR |La Antigua - Rep. de Guatemala      | Curso "Estado Democrático y Control Parlamentario"              | 8  |  27/06/10 |   04/07/10 |  1.094,00    |  76,00 |   766,00  |          | 19/08/10  |    766,00    |  1.936,00
Ripoll, Karla           |Fun | - |13/09/11                            | Sec   |    260/2011      |  OTR |Bs. As., Argentina                  | Prog. Actividades de Capacitación Adquis. y Contrataciones      | 2  |  14/09/11 |   15/09/11 |    251,00    |        |    263,00 |    140,00| 16/09/11  |     123,00   |      374,00
Rodríguez, Fabio        |Fun | - |15/03/10                            | Sec   |     05/2010      |  MER |Florianópolis - Brasil              | Seminario "Mercosur Pos-Copenhague"                             | 4  |  18/03/10 |   21/03/10 |    190,00    |  47,50 |    596,00 |    146,00| 26/03/10  |     450,00   |      687,50
Rodríguez, Fabio        |Fun | - |08/11/10                            | Sec   |    118/2010      |  MER |Bs. As., Argentina                  | Reunión Mesa Directiva del Parlamento del Mercosur              | 2  |  11/11/10 |   12/11/10 |    176,00    |  47,50 |    640,00 |    332,00| 26/11/10  |     308,00   |      531,50
Rodríguez, Hugo         |Fun | - |20/09/10                            | Sec   |     86/2010      |  OTR |Bs. As., Argentina                  | III Cong. Intern. s/Moderniz. y G. de Calidad del P. Legislativo| 5  |  24/09/10 |   28/09/10 |    155,00    |  47,50 |    948,00 |     58,00| 29/10/10  |     890,00   |    1.092,50
Rodríguez, Hugo         |Fun | - |11/02/11                            | Sec   |    145/2011      |  OTR.| Madrid, España                     | IX curso para Asesores Parlamentarios "Aula Parlamentaria"      | 16 |  26/02/11 |   13/03/11 |  1.603,00    | 152,00 |  2.210,00 |    220,00| 14/03/11  |   1.990,00   |    3.745,00
Rodríguez, Hugo         |Fun | - |26/10/11                            | Sec   |    278/2011      |  OTR |Valparaiso, Chile                   | Visita técnica sistema de televisión del parlamento chileno     | 4  |  02/11/11 |   05/11/11 |    394,00    |  50,00 |    805,00 |    161,00| 23/11/11  |     644,00   |    1.088,00
Rubio, Enrique          |Sen |FA |11/07/11                            | Sec   |  206-216/2011    |  OTR |Valparaiso, Chile                   | Congreso Bicentenario de la Independencia de Chile              | 4  |  03/07/11 |   06/07/11 |    380,00    |  48,00 |    204,00 |          |           |              |     632,00
Silveira, Martha        |Fun | - |07/06/11                            | Sec   |    200/2011      |  OTR |Cartagena de Indias, Colombia       | Curso "Etica y Transparencia en la Actividad Parlamentaria"     | 7  |  04/07/11 |   10/07/11 |  1.190,00    |  70,00 |    100,00 |    100,00| 14/07/11  |              |    1.260,00
Tajam, Héctor           |Sen |FA |24/09/10                            | Sec   |     87/2010      |  UIP |Ginebra - Suiza                     | 123 Asamblea de la Unión Interparlamentaria                     | 8  |  01/10/10 |   08/10/10 |  2.596,00    |  80,00 |  3.178,00 |  2.107,00| 15/10/10  |   1.071,00   |    3.747,00
Tajam, Héctor           |Sen |FA |14/02/11                            | Sec   |    146/2011      |  UIP |Ginebra, Suiza                      | Encuentro de auditores externos e internos de la UIP            | 5  |  23/02/11 |   27/02/11 |  2.375,00    |  40,00 |  2.300,00 |  1.749,00| 02/03/11  |     551,00   |    2.966,00
Tajam, Héctor           |Sen |FA |06/04/11                            | Sec   |    165/2011      |  UIP |Ciudad de Panamá, Panamá            | 124 Asamblea de la UIP                                          | 7  |  14/04/11 |   20/04/11 |              |        |  1.915,00 |    305,00| 25/04/11  |   1.610,00   |    1.610,00
Tajam, Héctor           |Sen |FA |04/10/11                            | Sec   |    263/2011      |  UIP |Berna, Suiza                        | 125a. Asamblea de la Unión Interparlamentaria                   | 8  |  13/10/11 |   20/10/11 |              |        |  4.660,00 |  3.100,00| 26/10/11  |   1.560,00   |    1.560,00
Viera, Tabaré           |Sen |C  |22/10/10                            | Sec   |     102/10       |  MER |Bs. As., Argentina                  | Reunión Com. Asuntos Inter., Segur. y Def. Parl. MERCOSUR       | 3  |  24/10/10 |   26/10/10 |    138,00    |  48,00 |    640,00 |          | 30/12/10  |              |     826,00
Xavier, Mónica          |Sen |FA |16/03/10                            | Sec   |   06-07/2010     |  UIP |Bangkok - Tailandia                 | 122a. Asamblea de la Unión Interparlamentaria                   | 13 |  22/03/10 |   03/04/10 |  8.795,00    | 104,00 |  3.943,00 |    413,00| 15/04/10  |   3.530,00   |  12.429,00
Xavier, Mónica          |Sen |FA |20/09/10                            | Sec   |     84/2010      |  UIP |Ginebra - Suiza                     | 123 Asamblea de la Unión Interparlamentaria                     | 7  |  03/10/10 |   09/10/10 |  2.240,00    |  70,00 |  2.780,00 |    210,00| 29/10/10  |   2.570,00   |    4.880,00
Xavier, Mónica          |Sen |FA |06/04/11                            | Sec   |    165/2011      |  UIP |Ciudad de Panamá, Panamá            | 124 Asamblea de la UIP                                          | 9  |  13/04/11 |   21/04/11 |              |        |  2.470,00 |          | 27/04/11  |  2.493,00    |   2.470,00
Xavier, Mónica          |Sen |FA |04/10/11                            | Sec   |    263/2011      |  UIP |Berna, Suiza                        | 125a. Asamblea de la Unión Interparlamentaria                   | 10 |  11/10/11 |   20/10/11 |              |        |  5.820,00 |    740,00| 17/11/11  |   5.080,00   |    5.080,00
